"coord.Dim.1"	"coord.Dim.2"	"coord.Dim.3"	"coord.Dim.4"	"coord.Dim.5"	"cos2.Dim.1"	"cos2.Dim.2"	"cos2.Dim.3"	"cos2.Dim.4"	"cos2.Dim.5"	"contrib.Dim.1"	"contrib.Dim.2"	"contrib.Dim.3"	"contrib.Dim.4"	"contrib.Dim.5"	"dist"
"14363106"	-5.92939340434646	1.80626427235716	-4.34789718574918	0.843937559180689	-1.08176881608683	0.491056256912499	0.0455693989800759	0.264039711068604	0.00994789856115548	0.0163448008415722	0.0194761671747922	0.00471899121802296	0.0316481573156372	0.00142109426330102	0.00303811126421453	8.4614470565456
"14363486"	-6.71091436228303	2.58744970284953	-3.63338365923724	0.144059999732127	0.474467452582653	0.593875211422569	0.0882827061158026	0.174082182024009	0.00027366460058866	0.00296855197134234	0.0249486100775991	0.00968345677641926	0.0221010249262068	4.14084595659878e-05	0.000584450334121309	8.70831435279742
"14363102"	-7.13120366393362	2.10885723652242	-3.95766258953787	0.6129782053232	0.873180125737129	0.63434147244633	0.0554742943689052	0.195377684165622	0.00468691948261683	0.00951053855991147	0.0281714137145382	0.00643251705261074	0.0262220975331219	0.000749708305186349	0.00197944046202132	8.95367418699561
"8431650"	-4.2362484159873	-0.41092290400539	-2.65489821935518	0.964653821085091	-1.98770669496049	0.301927566936983	0.00284093060647145	0.118586617269647	0.0156560754719972	0.0664728852022995	0.0099413599954886	0.000244234652708215	0.0118000989605589	0.00185671494535502	0.0102574488496917	7.70956786601132
"14363052"	-7.21116839917785	1.70394109644721	-4.39569867297831	1.08343231588647	0.980745426643081	0.616312819235361	0.0344111416304514	0.229005415896959	0.0139121258140306	0.0113999385211181	0.028806748230587	0.00419948216129033	0.0323478726338512	0.00234210211324704	0.00249716559190157	9.18554728200607
"14363020"	-7.31601807161191	0.940139083260744	-5.6809015809429	2.28517428568773	1.64635762499151	0.507932020879474	0.00838764938534956	0.306260215629608	0.049555824937668	0.0257219809358704	0.0296505327454933	0.00127841188820128	0.0540286887846206	0.010419356848227	0.00703692816723619	10.2653077386999
"14363654"	-7.21425681972974	4.77028458908037	-0.0722125083275428	-3.07175258236058	0.224436184925663	0.590732111009372	0.258283082011653	5.91878061565109e-05	0.1070976263854	0.000571732837993072	0.0288314283933411	0.0329135831268487	8.73001034458698e-06	0.0188267224210417	0.000130773731010341	9.3863405984134
"14363678"	-7.23324730598719	4.76545014262956	-0.0786643184240568	-3.06638053302103	0.211566067960933	0.593233451313415	0.257493852258853	7.01640375720567e-05	0.106613230323175	0.000507517513294161	0.0289834172941197	0.0328469043689746	1.03596591186389e-05	0.0187609295935746	0.000116205527955415	9.39118720499548
"14363286"	-7.23294386996101	4.76541798099466	-0.0784881682527435	-3.0664583850593	0.211661681163857	0.593203582685954	0.257499016120788	6.98525014492226e-05	0.106622221305871	0.000507993386353319	0.0289809856259826	0.0328464610083058	1.03133150429969e-05	0.0187618822445155	0.000116310585382481	9.3910296597927
"14368828"	-7.23324214052871	4.76544829600254	-0.0786612961806449	-3.06638062557131	0.211571852669375	0.593233140642932	0.257493885619281	7.01587098048581e-05	0.106613333197437	0.000507545726200086	0.0289833758984425	0.0328468789124206	1.03588631081807e-05	0.0187609307260689	0.000116211882701193	9.39118295752855
"14363638"	-7.24095460484227	4.7677419701536	-0.0848159539959001	-3.06415227250197	0.212387518695002	0.593956252932561	0.257506559246963	8.14925507877801e-05	0.106361265635946	0.000510999872079241	0.0290452160579257	0.0328785058081536	1.20432859928243e-05	0.0187336733223928	0.000117109665689312	9.39547184410698
"14363620"	-7.39228932619901	4.58286021237204	-0.15606871738491	-2.9677044094789	0.0816434521000691	0.629111605354196	0.241792599867884	0.000280415171284929	0.101393722566798	7.67383581688471e-05	0.0302719832570329	0.0303780439872739	4.07775960666238e-05	0.0175729041144087	1.73052340751769e-05	9.31998273786316
"14363466"	-6.8629297174071	1.65274730594434	-3.11989070454895	0.441146566295428	1.15948838287348	0.638808405608563	0.0370479716112392	0.132017127738766	0.00263947361966209	0.0182340996041298	0.0260916812610202	0.00395093151279691	0.0162955362750703	0.000388300600146464	0.00349033861774896	8.58665947666529
"8431772"	-4.01673201138935	-0.134858438024911	-2.55087623015904	0.822026385666697	-1.80578806343942	0.284463977039314	0.000320654850029044	0.114725599709014	0.0119138760784655	0.0574930195605587	0.00893775975240575	2.63052743805434e-05	0.0108935309318608	0.00134826037571825	0.00846580605363971	7.53111394771214
"14363066"	-6.97968716075291	1.60836490311096	-3.44946560376495	0.65024713836828	1.24886450584279	0.638054222361434	0.0338808929125584	0.155843721231158	0.00553786763930324	0.0204275516610469	0.0269870166227495	0.0037415862494525	0.0199201926659913	0.000843643868757756	0.00404916434712125	8.73790188569846
"14362984"	-6.75247637341644	1.27184888176412	-4.03389625933081	1.17572200096006	0.98698725248239	0.595935800796387	0.0211419165756111	0.212678104096628	0.0180668575384122	0.0127319937546909	0.0252585902862529	0.00233968618451463	0.0272420225059867	0.00275810976310059	0.00252905250688874	8.74708476368406
"14362942"	-6.70127037334754	0.851079398203664	-4.96706587081197	1.94695590754024	1.14139264834906	0.529201779736797	0.00853585778106104	0.290741384213254	0.0446703389000709	0.0153524310935009	0.024876956283423	0.00104767538734146	0.0413037740182365	0.0075633550439537	0.003382243733963	9.21184225751144
"14363032"	-7.24173941627925	2.82612487432682	-1.94174551431544	-0.955076557012888	0.750140881737042	0.708874490498034	0.107960840418992	0.0509645486828813	0.0123299107186182	0.00760622609711239	0.0290515125352041	0.0115523218721364	0.00631210941165549	0.00182003033125133	0.00146089979515506	8.60118362073274
"14363022"	-7.07161684287662	3.03265555793303	-1.86340220516783	-1.06120167279638	0.878417231913163	0.702857283378842	0.129263490920441	0.048802595134403	0.0158279823870526	0.010845046039266	0.0277025919373271	0.0133024844383559	0.00581303726781322	0.00224697431038981	0.0020032560012454	8.43500116169437
"14363028"	-6.84667419952476	3.31586083640054	-1.75696232431222	-1.20792919750134	1.06229280313435	0.647936989188469	0.151972860988067	0.0426676128925839	0.0201677015890798	0.0155977489938643	0.0259682262621633	0.0159030042978559	0.00516790824820281	0.00291128828834815	0.00292970058228216	8.50576296111649
"14363008"	-7.01671099738929	3.09398175405259	-1.83910064579788	-1.09171893847193	0.910516117538433	0.695210614634252	0.135171369001145	0.0477595481848305	0.0168294880234014	0.0117064305133591	0.0272740819045079	0.0138459284214512	0.00566240450534339	0.00237806621988689	0.00215233582633954	8.41541217728565
"14362988"	-7.06687612145816	3.0659967374779	-1.87608563508037	-1.06192720634639	0.917086483653157	0.699795823139474	0.131722439696063	0.0493198452661791	0.0158017753800887	0.0117852004734035	0.0276654614612862	0.01359658876894	0.00589244060140299	0.00225004783088085	0.00218351080009272	8.44776463602881
"14362956"	-7.04255548384781	3.09986190787502	-1.87564753893736	-1.07093967227929	0.937041971345162	0.695235784026567	0.134696483456452	0.0493144309418542	0.0160768728484017	0.012308061306076	0.0274753678868478	0.0138986071776237	0.00588968896358173	0.00228840174059541	0.00227956954854629	8.44625557422072
"14362954"	-7.11832326081872	2.98829403094627	-1.91447517010855	-1.01431180357368	0.844657912773932	0.708430722002163	0.124850023458288	0.0512438144371412	0.0143841741503898	0.00997478821330659	0.0280697390230426	0.0129161547680309	0.00613605683059711	0.00205279326516023	0.00185223663065622	8.45724697120012
